Tables A.4, B.5, and B.6. The X-ray efficiency ([cm^2 sec]^{−1} [keV/u]^{−1}) of outgoing photons as a function of initial ion energy including opacity effects.  No opacity effects and the viewing angles of 0°, 80°, and 90° are displayed for atmosphere 2. The efficiency shown here is that solely from charge exchange collisions for both oxygen and sulfur.  We also include the X-ray efficiencies that correspond to the JEDI energy bins at the time of writing.

 Viewing Angle:    0.0°
 Ion Energy [keV/u]      Total    O_Total         O6         O7  Ion Energy [keV/u]    S_Total         S8         S9        S10        S11        S12        S13        S14
       33.32           0.00000    0.00000    0.00000    0.00000        23.33           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       37.28           0.00000    0.00000    0.00000    0.00000        24.82           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       41.70           0.00000    0.00000    0.00000    0.00000        26.40           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       46.65           0.00000    0.00000    0.00000    0.00000        28.09           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       50.00           0.00000    0.00000    0.00000    0.00000        29.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       52.81           0.00000    0.00000    0.00000    0.00000        31.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       56.18           0.00000    0.00000    0.00000    0.00000        34.03           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       59.77           0.00000    0.00000    0.00000    0.00000        36.32           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       63.78           0.00000    0.00000    0.00000    0.00000        38.76           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       68.07           0.00000    0.00000    0.00000    0.00000        43.29           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       72.64           0.00000    0.00000    0.00000    0.00000        48.35           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       75.00           0.00000    0.00000    0.00000    0.00000        50.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       77.52           0.00000    0.00000    0.00000    0.00000        54.01           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       86.59           0.00000    0.00000    0.00000    0.00000        60.32           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       96.71           0.00002    0.00002    0.00002    0.00000        69.95           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      108.02           0.00005    0.00005    0.00004    0.00000        75.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      100.00           0.00002    0.00002    0.00002    0.00000        81.11           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      120.65           0.00013    0.00013    0.00013    0.00000        94.05           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      125.00           0.00018    0.00018    0.00017    0.00001       100.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      139.90           0.00050    0.00050    0.00047    0.00002       109.06           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      150.00           0.00089    0.00088    0.00084    0.00004       125.00           0.00002    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      162.22           0.00168    0.00165    0.00157    0.00008       131.16           0.00003    0.00003    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      175.00           0.00306    0.00297    0.00280    0.00017       150.00           0.00010    0.00010    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      188.11           0.00495    0.00481    0.00453    0.00028       157.73           0.00017    0.00016    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      200.00           0.00763    0.00720    0.00675    0.00045       175.00           0.00049    0.00047    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000
      218.12           0.01294    0.01203    0.01120    0.00083       189.69           0.00105    0.00099    0.00006    0.00000    0.00000    0.00000    0.00000    0.00000
      250.00           0.02621    0.02479    0.02278    0.00201       200.00           0.00177    0.00165    0.00011    0.00000    0.00000    0.00000    0.00000    0.00000
      262.32           0.03598    0.03103    0.02835    0.00268       228.12           0.00568    0.00519    0.00046    0.00003    0.00000    0.00000    0.00000    0.00000
      300.00           0.06300    0.05350    0.04783    0.00568       250.00           0.01140    0.01012    0.00118    0.00009    0.00001    0.00000    0.00000    0.00000
      315.47           0.10247    0.06402    0.05665    0.00737       300.00           0.04043    0.03339    0.00613    0.00076    0.00011    0.00003    0.00000    0.00000
      350.00           0.18831    0.08806    0.07601    0.01206       350.00           0.10025    0.07476    0.02060    0.00371    0.00086    0.00026    0.00007    0.00000
      379.38           0.31534    0.10945    0.09219    0.01726       400.00           0.19528    0.12624    0.04958    0.01268    0.00422    0.00180    0.00075    0.00000
      400.00           0.47615    0.12411    0.10255    0.02156       450.00           0.31292    0.16819    0.08807    0.02984    0.01421    0.00768    0.00492    0.00002
      450.00           0.63673    0.15683    0.12357    0.03326       500.00           0.43191    0.18611    0.11951    0.05076    0.03283    0.02204    0.02050    0.00015
      456.25           0.93887    0.16105    0.12610    0.03494       600.00           0.59147    0.17222    0.13299    0.07182    0.06607    0.05935    0.08780    0.00121
      500.00           1.09107    0.18524    0.13871    0.04653       700.00           0.64702    0.14454    0.11795    0.06954    0.07481    0.08066    0.15619    0.00333
      600.00           1.08500    0.22495    0.15199    0.07296       800.00           0.64504    0.12201    0.10123    0.06124    0.07081    0.08486    0.19885    0.00604
      700.00           1.03084    0.23988    0.14783    0.09204       900.00           0.61520    0.10425    0.08755    0.05331    0.06354    0.08112    0.21643    0.00899
      800.00           0.95739    0.24031    0.13701    0.10330      1000.00           0.57366    0.09015    0.07658    0.04670    0.05649    0.07450    0.21748    0.01177
      900.00           0.88075    0.23212    0.12444    0.10768      1250.00           0.46702    0.06503    0.05707    0.03477    0.04311    0.05850    0.19203    0.01650
     1000.00           0.79204    0.22009    0.11248    0.10761      1500.00           0.38130    0.04875    0.04409    0.02694    0.03414    0.04696    0.16200    0.01842
     1250.00           0.62914    0.18789    0.08885    0.09904      1750.00           0.31518    0.03754    0.03500    0.02144    0.02786    0.03851    0.13607    0.01877
     1500.00           0.51211    0.16048    0.07256    0.08792      2000.00           0.26373    0.02947    0.02836    0.01735    0.02308    0.03216    0.11517    0.01814
     1750.00           0.13710    0.13710    0.06018    0.07692         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     2000.00           0.11901    0.11901    0.05103    0.06798         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     5000.00           0.03085    0.03085    0.01072    0.02013         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    10000.00           0.00488    0.00488    0.00119    0.00369         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    25000.00           0.00012    0.00012    0.00003    0.00009         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000

 Viewing Angle:   80.0°
 Ion Energy [keV/u]      Total    O_Total         O6         O7  Ion Energy [keV/u]    S_Total         S8         S9        S10        S11        S12        S13        S14
       10.00           0.00000    0.00000    0.00000    0.00000         5.31           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       11.62           0.00000    0.00000    0.00000    0.00000         6.06           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       12.66           0.00000    0.00000    0.00000    0.00000         6.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       13.79           0.00000    0.00000    0.00000    0.00000         7.76           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       15.02           0.00000    0.00000    0.00000    0.00000         8.71           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       16.18           0.00000    0.00000    0.00000    0.00000        10.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       17.43           0.00000    0.00000    0.00000    0.00000        11.14           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       18.77           0.00000    0.00000    0.00000    0.00000        12.27           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       20.23           0.00000    0.00000    0.00000    0.00000        13.52           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       22.28           0.00000    0.00000    0.00000    0.00000        14.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       24.54           0.00000    0.00000    0.00000    0.00000        16.66           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       27.04           0.00000    0.00000    0.00000    0.00000        18.64           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       29.78           0.00000    0.00000    0.00000    0.00000        20.85           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       33.32           0.00000    0.00000    0.00000    0.00000        23.33           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       37.28           0.00000    0.00000    0.00000    0.00000        24.82           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       41.70           0.00000    0.00000    0.00000    0.00000        26.40           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       46.65           0.00000    0.00000    0.00000    0.00000        28.09           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       50.00           0.00000    0.00000    0.00000    0.00000        29.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       52.81           0.00000    0.00000    0.00000    0.00000        31.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       56.18           0.00000    0.00000    0.00000    0.00000        34.03           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       59.77           0.00000    0.00000    0.00000    0.00000        36.32           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       63.78           0.00000    0.00000    0.00000    0.00000        38.76           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       68.07           0.00000    0.00000    0.00000    0.00000        43.29           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       72.64           0.00000    0.00000    0.00000    0.00000        48.35           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       75.00           0.00000    0.00000    0.00000    0.00000        50.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       77.52           0.00000    0.00000    0.00000    0.00000        54.01           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       86.59           0.00000    0.00000    0.00000    0.00000        60.32           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       96.71           0.00002    0.00002    0.00001    0.00000        69.95           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      108.02           0.00005    0.00005    0.00004    0.00000        75.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      100.00           0.00002    0.00002    0.00002    0.00000        81.11           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      120.65           0.00013    0.00013    0.00013    0.00000        94.05           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      125.00           0.00018    0.00018    0.00017    0.00001       100.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      139.90           0.00050    0.00049    0.00047    0.00002       109.06           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      150.00           0.00088    0.00087    0.00083    0.00004       125.00           0.00002    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      162.22           0.00167    0.00165    0.00156    0.00008       131.16           0.00003    0.00003    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      175.00           0.00304    0.00295    0.00279    0.00017       150.00           0.00010    0.00009    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      188.11           0.00492    0.00479    0.00450    0.00028       157.73           0.00016    0.00015    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      200.00           0.00756    0.00716    0.00670    0.00045       175.00           0.00046    0.00044    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000
      218.12           0.01280    0.01194    0.01112    0.00082       189.69           0.00099    0.00093    0.00006    0.00000    0.00000    0.00000    0.00000    0.00000
      250.00           0.02589    0.02456    0.02257    0.00200       200.00           0.00165    0.00154    0.00011    0.00000    0.00000    0.00000    0.00000    0.00000
      262.32           0.03529    0.03072    0.02806    0.00266       228.12           0.00525    0.00478    0.00044    0.00003    0.00000    0.00000    0.00000    0.00000
      300.00           0.06151    0.05282    0.04719    0.00563       250.00           0.01043    0.00922    0.00112    0.00008    0.00001    0.00000    0.00000    0.00000
      315.47           0.09740    0.06311    0.05582    0.00730       300.00           0.03605    0.02947    0.00572    0.00072    0.00011    0.00003    0.00000    0.00000
      350.00           0.17392    0.08654    0.07462    0.01192       350.00           0.08738    0.06386    0.01891    0.00347    0.00082    0.00025    0.00007    0.00000
      379.38           0.28305    0.10724    0.09021    0.01703       400.00           0.16675    0.10384    0.04470    0.01169    0.00404    0.00173    0.00073    0.00000
      400.00           0.41699    0.12132    0.10008    0.02125       450.00           0.26281    0.13230    0.07776    0.02711    0.01348    0.00738    0.00478    0.00002
      450.00           0.55085    0.15243    0.11976    0.03267       500.00           0.35858    0.13862    0.10275    0.04526    0.03089    0.02106    0.01984    0.00015
      456.25           0.78661    0.15641    0.12210    0.03431       600.00           0.47921    0.11235    0.10593    0.06038    0.06028    0.05546    0.08362    0.00119
      500.00           0.88855    0.17892    0.13337    0.04554       700.00           0.50688    0.08137    0.08516    0.05375    0.06509    0.07285    0.14540    0.00325
      600.00           0.85907    0.21404    0.14328    0.07076       800.00           0.48377    0.05905    0.06551    0.04272    0.05787    0.07320    0.17956    0.00587
      700.00           0.78786    0.22426    0.13597    0.08829       900.00           0.43835    0.04337    0.05047    0.03323    0.04827    0.06613    0.18824    0.00866
      800.00           0.70309    0.22014    0.12234    0.09779      1000.00           0.38637    0.03227    0.03926    0.02591    0.03964    0.05694    0.18111    0.01123
      900.00           0.58518    0.20788    0.10746    0.10042      1250.00           0.27166    0.01640    0.02188    0.01442    0.02471    0.03752    0.14143    0.01531
     1000.00           0.48194    0.19228    0.09361    0.09867      1500.00           0.19311    0.00909    0.01286    0.00847    0.01609    0.02521    0.10477    0.01662
     1250.00           0.35011    0.15296    0.06658    0.08638      1750.00           0.14082    0.00543    0.00796    0.00526    0.01096    0.01743    0.07731    0.01647
     1500.00           0.26028    0.12030    0.04817    0.07213      2000.00           0.10498    0.00345    0.00514    0.00338    0.00764    0.01236    0.05754    0.01547
     1750.00           0.09406    0.09406    0.03512    0.05895         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     2000.00           0.07398    0.07398    0.02581    0.04817         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     5000.00           0.00528    0.00528    0.00105    0.00423         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    10000.00           0.00032    0.00032    0.00007    0.00025         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    25000.00           0.00001    0.00001    0.00000    0.00001         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000

 Viewing Angle:   90.0°
 Ion Energy [keV/u]      Total    O_Total         O6         O7  Ion Energy [keV/u]    S_Total         S8         S9        S10        S11        S12        S13        S14
       10.00           0.00000    0.00000    0.00000    0.00000         5.31           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       11.62           0.00000    0.00000    0.00000    0.00000         6.06           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       12.66           0.00000    0.00000    0.00000    0.00000         6.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       13.79           0.00000    0.00000    0.00000    0.00000         7.76           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       15.02           0.00000    0.00000    0.00000    0.00000         8.71           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       16.18           0.00000    0.00000    0.00000    0.00000        10.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       17.43           0.00000    0.00000    0.00000    0.00000        11.14           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       18.77           0.00000    0.00000    0.00000    0.00000        12.27           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       20.23           0.00000    0.00000    0.00000    0.00000        13.52           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       22.28           0.00000    0.00000    0.00000    0.00000        14.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       24.54           0.00000    0.00000    0.00000    0.00000        16.66           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       27.04           0.00000    0.00000    0.00000    0.00000        18.64           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       29.78           0.00000    0.00000    0.00000    0.00000        20.85           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       33.32           0.00000    0.00000    0.00000    0.00000        23.33           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       37.28           0.00000    0.00000    0.00000    0.00000        24.82           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       41.70           0.00000    0.00000    0.00000    0.00000        26.40           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       46.65           0.00000    0.00000    0.00000    0.00000        28.09           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       50.00           0.00000    0.00000    0.00000    0.00000        29.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       52.81           0.00000    0.00000    0.00000    0.00000        31.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       56.18           0.00000    0.00000    0.00000    0.00000        34.03           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       59.77           0.00000    0.00000    0.00000    0.00000        36.32           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       63.78           0.00000    0.00000    0.00000    0.00000        38.76           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       68.07           0.00000    0.00000    0.00000    0.00000        43.29           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       72.64           0.00000    0.00000    0.00000    0.00000        48.35           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       75.00           0.00000    0.00000    0.00000    0.00000        50.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       77.52           0.00000    0.00000    0.00000    0.00000        54.01           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       86.59           0.00000    0.00000    0.00000    0.00000        60.32           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       96.71           0.00002    0.00002    0.00001    0.00000        69.95           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      108.02           0.00004    0.00004    0.00004    0.00000        75.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      100.00           0.00002    0.00002    0.00002    0.00000        81.11           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      120.65           0.00013    0.00013    0.00012    0.00000        94.05           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      125.00           0.00018    0.00017    0.00017    0.00001       100.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      139.90           0.00048    0.00048    0.00046    0.00002       109.06           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      150.00           0.00086    0.00085    0.00081    0.00004       125.00           0.00001    0.00001    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      162.22           0.00162    0.00160    0.00152    0.00008       131.16           0.00002    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      175.00           0.00293    0.00287    0.00270    0.00017       150.00           0.00007    0.00007    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      188.11           0.00473    0.00463    0.00435    0.00028       157.73           0.00012    0.00012    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
      200.00           0.00721    0.00690    0.00646    0.00044       175.00           0.00035    0.00034    0.00002    0.00000    0.00000    0.00000    0.00000    0.00000
      218.12           0.01210    0.01145    0.01065    0.00080       189.69           0.00074    0.00069    0.00005    0.00000    0.00000    0.00000    0.00000    0.00000
      250.00           0.02425    0.02327    0.02135    0.00193       200.00           0.00122    0.00113    0.00009    0.00000    0.00000    0.00000    0.00000    0.00000
      262.32           0.03215    0.02895    0.02639    0.00256       228.12           0.00367    0.00330    0.00035    0.00002    0.00000    0.00000    0.00000    0.00000
      300.00           0.05468    0.04882    0.04346    0.00536       250.00           0.00703    0.00609    0.00086    0.00007    0.00001    0.00000    0.00000    0.00000
      315.47           0.07878    0.05778    0.05085    0.00693       300.00           0.02209    0.01732    0.00410    0.00055    0.00009    0.00002    0.00000    0.00000
      350.00           0.12700    0.07738    0.06620    0.01119       350.00           0.04962    0.03359    0.01259    0.00249    0.00067    0.00022    0.00006    0.00000
      379.38           0.18750    0.09368    0.07786    0.01582       400.00           0.08898    0.04824    0.02752    0.00793    0.00320    0.00144    0.00064    0.00000
      400.00           0.25511    0.10409    0.08452    0.01957       450.00           0.13424    0.05301    0.04366    0.01719    0.01029    0.00597    0.00411    0.00002
      450.00           0.32398    0.12459    0.09518    0.02940       500.00           0.17945    0.04589    0.05121    0.02633    0.02257    0.01652    0.01678    0.00014
      456.25           0.42433    0.12697    0.09618    0.03079       600.00           0.22612    0.02259    0.03628    0.02626    0.03697    0.03823    0.06468    0.00111
      500.00           0.43977    0.13823    0.09835    0.03988       700.00           0.21539    0.00948    0.01756    0.01518    0.03026    0.04100    0.09898    0.00293
      600.00           0.38029    0.14368    0.08631    0.05738       800.00           0.17746    0.00450    0.00803    0.00724    0.01850    0.03111    0.10298    0.00510
      700.00           0.30072    0.12730    0.06296    0.06434       900.00           0.13488    0.00257    0.00410    0.00349    0.01006    0.01997    0.08746    0.00724
      800.00           0.22695    0.10362    0.04145    0.06216      1000.00           0.09867    0.00164    0.00244    0.00194    0.00542    0.01186    0.06631    0.00905
      900.00           0.14716    0.08074    0.02621    0.05453      1250.00           0.04782    0.00071    0.00097    0.00070    0.00168    0.00362    0.02883    0.01131
     1000.00           0.10478    0.06202    0.01673    0.04529      1500.00           0.02851    0.00038    0.00050    0.00035    0.00078    0.00153    0.01334    0.01163
     1250.00           0.06066    0.03267    0.00626    0.02641      1750.00           0.02000    0.00023    0.00029    0.00020    0.00044    0.00080    0.00680    0.01122
     1500.00           0.03811    0.01758    0.00270    0.01487      2000.00           0.01540    0.00015    0.00019    0.00013    0.00028    0.00048    0.00373    0.01044
     1750.00           0.00990    0.00990    0.00140    0.00850         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     2000.00           0.00570    0.00570    0.00077    0.00493         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
     5000.00           0.00015    0.00015    0.00003    0.00012         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    10000.00           0.00001    0.00001    0.00000    0.00001         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
    25000.00           0.00000    0.00000    0.00000    0.00000         0.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000

 No opacity effects
 Ion Energy [keV/u]      Total    O_Total         O6         O7  Ion Energy [keV/u]    S_Total         S8         S9        S10        S11        S12        S13        S14
       10.00           0.00000    0.00000    0.00000    0.00000         5.31           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       11.62           0.00000    0.00000    0.00000    0.00000         6.06           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       12.66           0.00000    0.00000    0.00000    0.00000         6.89           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       13.79           0.00000    0.00000    0.00000    0.00000         7.76           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       15.02           0.00000    0.00000    0.00000    0.00000         8.71           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       16.18           0.00000    0.00000    0.00000    0.00000        10.00           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       17.43           0.00000    0.00000    0.00000    0.00000        11.14           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
       18.77           0.00000    0.00000    0.00000    0.00000        12.27           0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
